paper_id,title,authors,venue,year,category,core_method,dataset_used,key_metric,key_strength,key_limitation,how_we_differ,cite_in_sections
chugh2020notmade,Not made for each other: Audio-visual dissonance-based deepfake detection and localization,Chugh et al.,ACM Multimedia,2020,direct_predecessor,Detects inconsistency between audio and visual streams,Audio-visual deepfake datasets,Varies by protocol,Establishes dissonance as a forensic cue,Does not train an interpretable attention map with a synchronization target,PinPoint directly supervises audio-to-video attention structure with synchronization loss,intro related_work method
haliassos2021lips,Lips don't lie: A generalisable and robust approach to face forgery detection,Haliassos et al.,CVPR,2021,direct_predecessor,Lip-region temporal modeling for face forgery detection,Face forgery benchmarks,Strong cross-manipulation robustness reported,Shows lip dynamics are robust evidence,Primarily visual and not full audio--visual fusion,PinPoint combines mouth-region evidence with audio features and attention-based synchrony,intro related_work
raza2023multimodaltrace,Multimodaltrace: Deepfake detection using audiovisual representation learning,Raza and Malik,CVPR Workshops,2023,direct_predecessor,Audio and visual representation learning with multimodal fusion,FakeAVCeleb,F1 0.945 reported in old draft,Close multimodal baseline,Fusion does not explicitly constrain temporal attention structure,PinPoint makes attention maps synchronization-supervised,intro related_work experiments
gao2024temporal,Temporal feature prediction in audio-visual deepfake detection,Gao et al.,Electronics,2024,direct_predecessor,Temporal prediction of audio--visual features,FakeAVCeleb,Accuracy 84.33% reported in old draft,Uses temporal consistency as a cue,More complex staged prediction and limited direct explanation of attention,PinPoint uses a simpler attention target and multimodal XAI audit,related_work experiments
javed2025avsff,Audio-visual synchronization and lip movement analysis for real-time deepfake detection,Javed et al.,International Journal of Computational Intelligence Systems,2025,direct_predecessor,Lip synchronization and multimodal fusion,FakeAVCeleb LAV-DF AV-Deepfake1M TVIL,FakeAVCeleb accuracy 99.73%,Strong synchronization-focused results,Uses a separate protocol and does not center attention interpretability,PinPoint studies synchronization loss inside gated cross-attention and reports ablations,related_work experiments
he2016resnet,Deep residual learning for image recognition,He et al.,CVPR,2016,methodological_foundation,Residual convolutional network architecture,ImageNet,Top ImageNet performance at publication,Standard visual backbone,Not designed for explainable multimodal forensic fusion,PinPoint adapts ResNet-18 for XAI-compatible video encoding,method
ribeiro2016lime,Why should I trust you? Explaining the predictions of any classifier,Ribeiro et al.,KDD,2016,methodological_foundation,Local surrogate explanations,General classifiers,Not task-specific,Model-agnostic local interpretability,Can be unstable and local only,PinPoint uses LIME as one member of a larger multimodal XAI suite,related_work xai
lundberg2017shap,A unified approach to interpreting model predictions,Lundberg and Lee,NeurIPS,2017,methodological_foundation,Shapley-value feature attribution,General predictive models,Not task-specific,Strong attribution foundation,Computationally expensive for video/audio,PinPoint uses SHAP alongside attention and concept checks,related_work xai
sundararajan2017ig,Axiomatic attribution for deep networks,Sundararajan et al.,ICML,2017,methodological_foundation,Path-integrated gradients,Deep networks,Not task-specific,Axiomatic gradient attribution,Sensitive to baselines and gradients,PinPoint uses IG as an agreement check with LRP and SHAP,related_work xai
bach2015lrp,On pixel-wise explanations for non-linear classifier decisions by layer-wise relevance propagation,Bach et al.,PLOS ONE,2015,methodological_foundation,Layer-wise relevance backpropagation,Image classifiers,Not task-specific,Produces relevance maps for neural decisions,Architecture handling can be difficult,PinPoint patches in-place operations to support relevance-style analysis,related_work xai
